Tarih,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Şirket,Write Off,Research And Development,Impairment Of Capital Assets
2025-03-31,-124861000.0,0.25,14633051000.0,-499444000.0,-499444000.0,2705109000.0,6181330000.0,121863881000.0,14133607000.0,7952277000.0,-1621149000.0,1555887000.0,9040000.0,3079692000.0,2705109000.0,148532076000.0,232270000.0,-1297669000.0,594898000.0,594898000.0,4.55,4.55,2705109000.0,2705109000.0,0.0,2705109000.0,-5296000.0,2710405000.0,2710405000.0,3685985000.0,6396390000.0,8247641000.0,-499444000.0,339983000.0,159461000.0,-1621149000.0,74302000.0,1555887000.0,9040000.0,-809419000.0,26668195000.0,1205282000.0,6049035000.0,6049035000.0,3239307000.0,1596199000.0,1643108000.0,232270000.0,25858776000.0,121863881000.0,147722657000.0,147722657000.0,BIMAS,,,
2024-12-31,-820921998.771738,0.351071,16404765000.0,-2338335000.0,-2338335000.0,4732312000.0,5266872000.0,124635965000.0,14066430000.0,8799558000.0,-1569749000.0,1507142000.0,1770000.0,6249725001.228262,4732312000.0,149146177000.0,220955000.0,2831743000.0,,,,,4732312000.0,4732312000.0,0.0,4732312000.0,53000.0,4732259000.0,4732259000.0,2560157000.0,7292416000.0,4571581000.0,-118760000.0,68518000.0,50242000.0,-1569749000.0,64377000.0,1507142000.0,1770000.0,2960965000.0,24510212000.0,1091254000.0,5053727000.0,5053727000.0,3324734000.0,1618349000.0,1706385000.0,220955000.0,27471177000.0,124635965000.0,152107142000.0,152107142000.0,BIMAS,,,
2024-09-30,166788637.391229,0.312923,11717916000.0,533003000.0,533003000.0,4350985000.0,4729680000.0,103621250000.0,12250919000.0,7521239000.0,-1188886000.0,1154992000.0,569000.0,3984770637.391229,4350985000.0,124489851000.0,164463000.0,898211000.0,596842936.0,596842936.0,7.29,7.29,4350985000.0,4350985000.0,0.0,4350985000.0,-23120000.0,4374105000.0,4374105000.0,1992142000.0,6366247000.0,5561410000.0,-551499000.0,470798000.0,80701000.0,-1188886000.0,34463000.0,1154992000.0,569000.0,1448336000.0,20868601000.0,887176000.0,3951595000.0,3951595000.0,3092018000.0,1531330000.0,1560688000.0,164463000.0,22316937000.0,103621250000.0,125938187000.0,125938187000.0,BIMAS,,,
2024-06-30,174357750.0,0.25,8218757000.0,697431000.0,697431000.0,4521409000.0,2695303000.0,90940440000.0,8916188000.0,5318066000.0,-991617000.0,1013090000.0,42752000.0,3998335750.0,4521409000.0,109018074000.0,67599000.0,141326000.0,597279921.0,597279921.0,7.57,7.57,4521409000.0,4521409000.0,0.0,4521409000.0,-2410000.0,4523819000.0,4523819000.0,-218843000.0,4304976000.0,4386350000.0,164253000.0,4816000.0,-169069000.0,-991617000.0,21279000.0,1013090000.0,42752000.0,234767000.0,18077634000.0,808798000.0,3598122000.0,3598122000.0,2455536000.0,1358771000.0,1096765000.0,67599000.0,18312401000.0,90940440000.0,109252841000.0,109252841000.0,BIMAS,,,
2024-03-31,-95374241.029574,0.396349,14838562000.0,-240632000.0,-240632000.0,5355475000.0,4520721000.0,118648407000.0,14597930000.0,10077209000.0,-1236952000.0,1204414000.0,2777000.0,5500732758.970426,5355475000.0,141447663000.0,239287000.0,1658360000.0,597000000.0,597000000.0,8.97,8.97,5355475000.0,5355475000.0,0.0,5355475000.0,-597000.0,5356072000.0,5356072000.0,3516723000.0,8872795000.0,7849929000.0,-240632000.0,116524000.0,124108000.0,-1236952000.0,35315000.0,1204414000.0,2777000.0,1860477000.0,22799256000.0,799850000.0,4337990000.0,4337990000.0,3212933000.0,1590821000.0,1622112000.0,239287000.0,24659733000.0,118648407000.0,143308140000.0,143308140000.0,BIMAS,,,
2023-09-30,,,,,,,,,,,,,,,,,,,596987943.0,596987943.0,12.69,12.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIMAS,,,
2025-03-31,0.0,0.25,-402537000.0,,,2274816000.0,1171162000.0,15969400000.0,-402537000.0,-1573699000.0,251586000.0,561832000.0,813418000.0,2274816000.0,2274816000.0,18599922000.0,,7406479000.0,4560000000.0,4560000000.0,0.4989,0.4989,2274816000.0,2274816000.0,0.0,2274816000.0,141325000.0,2133491000.0,2133491000.0,-4269022000.0,-2135531000.0,-7025872000.0,,,,251586000.0,,561832000.0,813418000.0,4190851000.0,2630522000.0,922278000.0,,,2007280000.0,590256000.0,1417024000.0,,6821373000.0,15969400000.0,22790773000.0,22790773000.0,ASELS,,842833000.0,
2024-12-31,0.0,0.012912,11916975000.0,,,9157027000.0,1055698000.0,40102605000.0,11916975000.0,10861277000.0,266159000.0,1593590000.0,1859749000.0,9157027000.0,9157027000.0,45326617000.0,,12947593000.0,,,,,9157027000.0,9157027000.0,0.0,9157027000.0,9007000.0,9148020000.0,9148020000.0,119667000.0,9267687000.0,-3407512000.0,,,,266159000.0,,1593590000.0,1859749000.0,14163004000.0,5224012000.0,-1554981000.0,,,-2665154000.0,121853000.0,-2787007000.0,,19387016000.0,40102605000.0,59489621000.0,59489621000.0,ASELS,,1711701000.0,
2024-09-30,0.0,0.122471,7344358000.0,,,4283965000.0,830845000.0,38213775000.0,7344358000.0,6513513000.0,-1083979000.0,1547974000.0,463995000.0,4283965000.0,4283965000.0,43502405000.0,,22777915000.0,4560000000.0,4560000000.0,0.9395,0.9395,4283965000.0,4283965000.0,0.0,4283965000.0,-73437000.0,4357402000.0,4357402000.0,608137000.0,4965539000.0,-10880966000.0,,,,-1083979000.0,,1547974000.0,463995000.0,9561033000.0,5288630000.0,1078045000.0,,,3805379000.0,1154774000.0,2650605000.0,,14849663000.0,38213775000.0,53063438000.0,53063438000.0,ASELS,,1406229000.0,
2024-06-30,0.0,0.25,1010365000.0,,,2277136000.0,460352000.0,12646333000.0,1010365000.0,550013000.0,-864683000.0,942158000.0,77475000.0,2277136000.0,2277136000.0,15051194000.0,,4454780000.0,4560000000.0,4560000000.0,0.4994,0.4994,2277136000.0,2277136000.0,0.0,2277136000.0,-25802000.0,2302938000.0,2302938000.0,-2695083000.0,-392145000.0,-3835744000.0,,,,-864683000.0,,942158000.0,77475000.0,4256049000.0,2404861000.0,800791000.0,,,1606508000.0,524348000.0,1082160000.0,,6660910000.0,12646333000.0,19307243000.0,19307243000.0,ASELS,,708267000.0,
